number,AER,Growth_stage,Replication,soil_type,Genotype,Genotypes,Class,Severity,GGA,GA,Necrosis,a,u,Chlorosis,b,v,CSI,NGRDI,TGI,Hue,Intensity,Lightness,Saturation
74,AER4,R2,Rep1,red,Natal_common,G11,7,20,0.42,0.47,47.68,-9.13,-1.42,2.04,23.13,28.64,9.86,1.68,2342.03,66.63,0.47,54.43,0.16
75,AER4,R2,Rep1,red,Makulu_red,G7,5,20.5,0.56,0.35,58.65,-11.15,-13.12,2.08,25.96,40.5,30.5,5.3,0,70.51,0.49,56.5,0.18
76,AER4,R2,Rep1,red,Tumbe,G12,4,20.8,0.41,0.45,48.21,-9.48,-1.81,3.17,23.21,29.41,8.77,1.9,2335.92,67.7,0.51,58.22,0.15
77,AER4,R2,Rep1,red,Murambatsvina,G9,5,22.5,0.58,0.66,33.33,-14.95,-8.07,3.37,27.12,33.89,12.29,3.3,2001.89,81.31,0.47,55.42,0.19
78,AER4,R2,Rep1,red,Munzungu_munemari,G8,5,26.8,0.59,0.63,37.01,-14.43,-8.41,4.63,24.3,31.37,6.38,5.93,2926.36,85.06,0.49,57.47,0.15
79,AER4,R2,Rep1,red,Chizambia,G3,3,31.5,0.49,0.53,57.64,-9.06,-4.32,5.38,20.68,26.28,18.23,4.22,1820.82,70.21,0.49,55.57,0.13
80,AER4,R2,Rep1,red,Chigunwe,G2,3,32.4,0.72,0.76,44.05,-18.76,-14.11,10.41,35.2,38.33,35.59,10.39,3981.83,97.49,0.5,58.76,0.15
81,AER4,R2,Rep1,red,Bobwhite,G1,4,34.6,0.28,0.32,84.47,-6.55,-12.94,10.6,25.04,48.19,49.32,11.35,1846.51,64.99,0.53,59.57,0.13
82,AER4,R2,Rep1,red,Guinea_fowl,G4,3,37.3,0.26,0.39,56.24,-18.23,-13.3,12.3,22.26,28.5,60.8,12.75,2263.85,72.58,0.51,57.81,0.14
83,AER4,R2,Rep1,red,Muromo_wehoto,G10,6,41.5,0.42,0.5,42.72,-9.48,-0.87,52.26,25.38,31.82,17.31,1.43,2517.27,64.77,0.52,59.32,0.17
84,AER4,R2,Rep1,red,Kabhutsu,G5,6,54,0.2,0.21,77.34,-0.06,9.37,65,18.21,21.3,6.51,-5.31,706.48,33.17,0.46,50.9,0.14
85,AER4,R2,Rep2,red,Kasawaya,G6,6,16.5,0.3,0.2,45.8,-17.63,-11.43,1.72,38.18,36.75,48.65,-2.6,0,87.5,0.53,62.09,0.17
86,AER4,R2,Rep2,red,Natal_common,G11,7,20.6,0.63,0.69,13.89,-17.07,-10.97,2.01,27.29,35.35,8.68,9.2,4189.63,87.5,0.51,59.92,0.17
87,AER4,R2,Rep2,red,Makulu_red,G7,6,21,0.58,0.3,60.21,-17.34,-11.54,2.2,26.85,45.2,35.6,5.4,0,89.39,0.54,62.94,0.15
88,AER4,R2,Rep2,red,Tumbe,G12,4,21.4,0.48,0.54,39.4,-11.28,-3.92,2.55,24.29,31.1,11.58,3.03,2540.58,73.29,0.52,59.61,0.15
89,AER4,R2,Rep2,red,Murambatsvina,G9,5,23,0.39,0.46,34.88,-9.33,-0.26,3.37,26.41,32.66,17.04,2.46,3033.2,63.29,0.51,58.36,0.19
90,AER4,R2,Rep2,red,Munzungu_munemari,G8,6,27,0.36,0.42,51.58,-5.31,2.42,3.51,19.05,24.19,12.92,-1.25,1173.5,51.56,0.53,58.48,0.11
91,AER4,R2,Rep2,red,Chizambia,G3,4,32,0.4,0.57,54.86,-11.82,-6.23,4.12,20.69,27.64,17.04,4,2230.51,83.67,0.55,61.68,0.11
92,AER4,R2,Rep2,red,Chigunwe,G2,4,32.5,0.76,0.78,42.3,-20.1,-15.41,5.22,36.86,35.96,35.91,10.49,4109.03,97.62,0.53,62.56,0.15
93,AER4,R2,Rep2,red,Bobwhite,G1,4,35.4,0.26,0.36,88.56,-6.59,-10.54,10.85,26.63,44.49,48.38,12.61,3993.64,87.33,0.51,59.38,0.17
94,AER4,R2,Rep2,red,Guinea_fowl,G4,3,38,0.24,0.38,58.43,-19.51,-14.77,11,26.2,24.47,65.1,11.47,4353.88,97.17,0.49,58.62,0.16
95,AER4,R2,Rep2,red,Muromo_wehoto,G10,3,42,0.55,0.59,34.77,-13.65,-7.41,52.94,24.03,31.72,6.3,4.67,2821.3,82.88,0.55,62.36,0.13
96,AER4,R2,Rep2,red,Kabhutsu,G5,6,54.5,0.19,0.2,71.71,-1.52,11.81,63,19.07,22.64,8.14,-5.82,604.04,29.65,0.51,56.03,0.13
97,AER4,R2,Rep3,red,Kasawaya,G6,6,17,0.45,0.18,48.6,-15.3,-9.11,1.65,35.6,2,49.71,-2.5,0,49.53,0.49,58.08,0.31
98,AER4,R2,Rep3,red,Natal_common,G11,7,21,0.1,0.23,80.41,1.91,20.11,3.57,35.81,38.12,55.06,-10.97,1766.54,38.78,0.47,55.27,0.34
99,AER4,R2,Rep3,red,Makulu_red,G7,6,21.5,0.55,0.23,65.31,-18.43,-12.03,5.76,23.62,45.3,38.5,5,1927.36,62.15,0.55,61.17,0.15
100,AER4,R2,Rep3,red,Tumbe,G12,9,22,0.22,0.4,69.79,-3.32,9.29,5.95,30.12,32.63,45.04,-6.83,2072.07,46.79,0.41,48.44,0.3
101,AER4,R2,Rep3,red,Murambatsvina,G9,5,23.6,0.08,0.26,66.04,-0.18,17.06,8,35.87,39.05,68.85,-7.33,2427.65,41.45,0.49,56.75,0.33
102,AER4,R2,Rep3,red,Munzungu_munemari,G8,6,27.54,0.18,0.33,82.65,-1.08,12.35,8.69,29.18,31.63,45.63,-9.2,1537.26,42.04,0.42,49.37,0.29
103,AER4,R2,Rep3,red,Chizambia,G3,4,32.36,0.45,0.54,54.64,-9.09,-5.02,9.47,21.3,27.69,15.61,4.3,1701.8,68.81,0.55,61.01,0.12
104,AER4,R2,Rep3,red,Chigunwe,G2,3,32.54,0.72,0.78,46.56,-12.63,-14.95,9.88,35.17,40.78,41.98,12.47,4007.77,66.28,0.46,55.71,0.3
105,AER4,R2,Rep3,red,Bobwhite,G1,4,36,0.26,0.31,83.4,-7,-12.37,12.71,27.15,46.07,57.24,13.22,3537.21,90.79,0.55,63.82,0.15
106,AER4,R2,Rep3,red,Guinea_fowl,G4,4,38.25,0.35,0.34,59.59,-23.16,-14.56,15,30.75,24.09,67.2,12.69,1828.01,48.1,0.44,51.24,0.29
107,AER4,R2,Rep3,red,Muromo_wehoto,G10,7,42.31,0.49,0.59,39.28,-10.06,-2.29,53.29,24.31,29.85,18.14,1.8,2454.84,68.95,0.46,53.58,0.18
108,AER4,R2,Rep3,red,Kabhutsu,G5,6,55,0.18,0.25,71.75,-1.6,12.5,62,22.32,25.07,8.65,-6.28,1233.35,33.1,0.51,57.35,0.29
109,AER4,R2,Rep4,sand,Kasawaya,G6,5,21.5,0.51,0.57,58.4297,-13.56,-7.37,3.6458,23.8,31.96,10.42,-0.0172,1602.9915,83.14,0.59,66,0.12
110,AER4,R2,Rep4,sand,Natal_common,G11,7,25,0.29,0.43,50.0851,-9.2,2.04,4.6948,32.46,37.51,32.23,1.3344,1831.3481,59.2,0.46,54.8,0.28
111,AER4,R2,Rep4,sand,Makulu_red,G7,6,25.6,0.56,0.61,52.564,-14.95,-9.38,5.3119,23.78,31.82,8.95,0.2669,1549.8117,88.43,0.55,63.23,0.13
112,AER4,R2,Rep4,sand,Tumbe,G12,5,24.6,0.66,0.7,42.1221,-16.63,-11.97,5.3579,23.07,30.48,5.66,3.8892,2001.2728,96.04,0.49,57.33,0.13
113,AER4,R2,Rep4,sand,Murambatsvina,G9,5,26.8,0.57,0.64,48.2407,-15.29,-9.16,5.6079,25.47,33.67,11.41,2.3707,2069.6816,85.67,0.55,63.11,0.14
114,AER4,R2,Rep4,sand,Munzungu_munemari,G8,5,30.5,0.81,0.88,21.7791,-22.26,-16.87,5.7916,31,40.02,7.85,2.5832,2262.1923,94.45,0.49,60.15,0.2
115,AER4,R2,Rep4,sand,Chizambia,G3,4,35.7,0.54,0.6,85.0727,-10.86,-5.2,6.2129,19.9,25.75,8.74,-5.8232,1422.5438,80.95,0.49,55.24,0.12
116,AER4,R2,Rep4,sand,Chigunwe,G2,4,36,0.83,0.88,23.4558,-21.1,-16.77,6.4864,27.12,36.81,6.08,8.181,3372.1466,100.18,0.55,64.89,0.14
117,AER4,R2,Rep4,sand,Bobwhite,G1,4,39,0.4,0.64,55.4056,-17.01,-6.29,9.0723,40.54,47.59,36.91,-1.3016,3214.7468,71.57,0.49,60.67,0.33
118,AER4,R2,Rep4,sand,Guinea_fowl,G4,4,41.6,0.29,0.41,86.4509,-5.55,6.59,10.916,30.53,34.66,29.93,-4.5626,254.157,50.85,0.45,53.12,0.27
119,AER4,R2,Rep4,sand,Muromo_wehoto,G10,3,45,0.39,0.53,61.8059,-11.27,-0.5,11.5027,33.48,39.32,27.39,-0.576,935.1949,63.96,0.47,56.67,0.28
120,AER4,R2,Rep4,sand,Kabhutsu,G5,6,58,0.17,0.24,83.2001,-2.26,6.82,19.5492,19.13,23.32,28.97,-6.501,1527.1724,39.53,0.51,55.63,0.13
121,AER4,R2,Rep5,sand,Kasawaya,G6,4,22,0.31,0.42,58.4297,-8.49,-0.37,3.6458,23.03,29.52,25.97,-0.0172,1602.9915,63.12,0.55,61.6,0.14
122,AER4,R2,Rep5,sand,Natal_common,G11,7,25.8,0.39,0.5,50.0851,-10,-2.72,4.6948,22.74,29.26,21.72,1.3344,1831.3481,70.62,0.53,59.8,0.14
123,AER4,R2,Rep5,sand,Makulu_red,G7,6,26,0.33,0.43,52.564,-8.09,-0.33,5.3119,21.72,28.23,24.08,0.2669,1549.8117,62.71,0.57,63.13,0.12
