Environment,Ward,Replication,Genotype,Genotype,SHW,SP,PY,Biomass,HI,GY, Severity,Class, GGA, Necrosis, a, u, Chlorosis, b, v, CSI
E3,10,3,Kasawaya,G6,30,66.66666667,90,366.6666667,0.151260504,60,29.76666667,,0.06,89.47,7.443333333,40.25,1.4,21.98333333,43.88,69.66666667
E3,10,3,Makulu_red,G7,55,15.38461538,65,483.3333333,0.018575851,10,36.1,,0.063333333,53.80333333,11.18,34.13,4.503333333,40.88,44.80666667,67.88
E3,10,3,Munzungu_munemari,G8,55,42.10526316,95,500,0.072072072,40,43,,0.233333333,61.37,-5.313333333,2.746666667,6.163333333,19.79666667,24.91666667,27.32333333
E3,10,3,Murambatsvina,G9,15,57.14285714,35,550,0.03539823,20,39.2,,0.143333333,33.23666667,-3.186666667,4.573333333,5.233333333,17.17666667,21.41333333,35.09666667
E3,10,3,Muromo_wehoto,G10,35,22.22222222,45,483.3333333,0.019292605,10,61.11666667,,0.17,68.92333333,-4.263333333,4.436666667,13.23,20.22,25.18666667,35.89666667
E3,10,3,Natal_common,G11,32,62.35294118,85,466.6666667,0.106283422,53,35.52,,0.2,50.38,-6.156666667,1.69,4.11,20.35333333,25.57333333,47.69666667
E3,10,3,Tumbe,G12,24,63.07692308,65,566.6666667,0.069413093,41,38.13333333,,0.163333333,67.55333333,-3.99,3.773333333,4.973333333,18.01,22.46333333,48.78333333
E3,10,4,Bobwhite,G1,43.5,20.90909091,55,55,0.116751269,11.5,59.46666667,,0.196666667,54.60123333,-4.6,3.676666667,6.1549,19.62333333,24.43,30.13333333
E3,10,4,Chigunwe,G2,30,50,60,60,0.333333333,30,58.43333333,,0.253333333,42.8457,-4.25,2.536666667,5.172933333,16.29,20.35,19.00666667
E3,10,4,Chizambia,G3,45,40,75,285,0.090909091,30,54.16666667,,0.186666667,60.58246667,-4.346666667,3.816666667,3.8476,19.10333333,23.82666667,23.06666667
E3,10,4,Guineafowl,G4,0,0,0,0,0,0,59.88333333,,0.146666667,69.1182,-2.05,7.626666667,6.845333333,19.59333333,24.12,35.69666667
E3,10,4,Kabhutsu,G5,64,1.538461538,65,65,0.007751938,1,70.93333333,,0.116666667,82.34553333,-1.376666667,6.93,11.12516667,16.75666667,20.42666667,17.22333333
E3,10,4,Kasawaya,G6,60,25,80,80,0.142857143,20,33.73333333,,0.146666667,50.8815,-3.25,5.366666667,1.2883,19.24333333,23.36333333,30.07666667
E3,10,4,Makulu_red,G7,42,6.666666667,45,45,0.034482759,3,40.13333333,,0.213333333,45.38223333,-4.16,2.86,2.393466667,16.47,21.21333333,17.52666667
E3,10,4,Munzungu_munemari,G8,55,38.88888889,90,45,0.35,35,47.26666667,,0.243333333,48.94686667,-4.6,2.753333333,3.635333333,17.56666667,22.31333333,19.76
E3,10,4,Murambatsvina,G9,10,71.42857143,35,35,0.555555556,25,43.66666667,,0.216666667,42.46366667,-5.306666667,2.22,3.457933333,18.79,23.72333333,28.17666667
E3,10,4,Muromo_wehoto,G10,36,29.41176471,51,51,0.172413793,15,64.61666667,,0.22,55.22753333,-3.983333333,1.966666667,8.078033333,14.07666667,18.35333333,10.08
E3,10,4,Natal_common,G11,35,58.82352941,85,35,0.714285714,50,39.1,,0.17,61.38593333,-3.82,5.086666667,1.756033333,19.93666667,25.02333333,28.11333333
E3,10,4,Tumbe,G12,20,50,40,40,0.333333333,20,42.6,,0.14,60.7196,-2.866666667,4.463333333,2.987733333,15.98666667,20.17666667,21.07
