number,AER,Growth_stage,Replication,soil_type,Genotype,Genotypes,Class,Severity,GGA,Necrosis,a,u,Chlorosis,b,v,CSI,GA,NGRDI,TGI,Hue,Intensity,Lightness,Saturation
1,AER2,R1,Rep1,red,Kasawaya,G6,5,22.28,0.16,2.28,11.85,0,15.51,15.25,0,0,0,20.98,922.92,35.19,0.51,55.58,0.09
2,AER2,R1,Rep1,red,Natal_common,G11,5,26.18,0.29,-3.05,6.47,0,20.81,84.21,-2.7,1564.07,57.45,42.67,438.08,26.23,0.52,56.03,0.08
3,AER2,R1,Rep1,red,Makulu_red,G7,5,29.88,0.46,12.5,35.56,1.68,13.43,49.11,-2.85,607.49,61.92,29.28,-45.63,17.26,0.55,58.38,0.08
4,AER2,R1,Rep1,red,Tumbe,G12,5,30.39,0.18,0.65,9,1.82,14.98,55.5,-4.57,606.56,60.36,25.77,541.02,29.44,0.54,58.56,0.13
5,AER2,R1,Rep1,red,Murambatsvina,G9,6,37.37,0.21,0.8,10.18,1.82,16.59,11.3,-5.46,498.05,63.36,26.9,-46.31,17.24,0.55,58.36,0.08
6,AER2,R1,Rep1,red,Munzungu_munemari,G8,6,39.15,0.23,-0.08,9.05,2.22,17.05,11.86,0,0,0,30.5,0,20.98,0.53,56.61,0.1
7,AER2,R1,Rep1,red,Chizambia,G3,7,41.42,0.15,2.48,11.67,2.22,14.41,15.04,-6.36,-45.63,63.39,17.26,607.49,29.28,0.51,54.67,0.07
8,AER2,R1,Rep1,red,Chigunwe,G2,7,42.96,0.16,-2.3,7.89,2.33,14.56,22.6,-14.26,438.08,25.53,26.23,0,30.5,0.51,55.69,0.11
9,AER2,R1,Rep1,red,Bobwhite,G1,7,43.09,0.24,-11.91,30.56,2.72,35.42,78.09,-12.6,922.92,75.87,35.19,498.05,26.9,0.53,56.76,0.1
10,AER2,R1,Rep1,red,Guinea_fowl,G4,7,45.4,0.46,10.35,34.36,2.78,29.63,23.09,-16.39,541.02,54.1,29.44,433.07,24.97,0.51,55.38,0.12
11,AER2,R1,Rep1,red,Muromo_wehoto,G10,7,48.56,0.16,2.36,12.98,8.12,17.68,19.65,-6.86,433.07,71.22,24.97,1564.07,42.67,0.51,56.64,0.14
