Genotype,Genotypes,Class,Severity,GGA,GA,Necrosis,a,u,Chlorosis,b,v,CSI,NGRDI,TGI,Hue,Intensity,Lightness,Saturation
Munzungu_munemari,G8,6,25.48,0.28,0.32,52.22,-6.74,0.61,6.45,19.6,25.2,11.09,0.71,1677.11,58.7,0.54,59.65,0.11
Chizambia,G3,5,30.09,0.28,0.31,44.39,-4.91,2.59,7.93,18.21,23.14,18.88,0.62,1304.52,49.94,0.53,58.11,0.11
Chigunwe,G2,4,30.56,0.32,0.45,43.22,-7.64,2.73,8.46,29.59,35.23,28.74,2.24,2091.79,64.25,0.53,58.49,0.11
Bobwhite,G1,5,33.58,0.38,0.44,79.87,-8.7,18.49,9.68,23.62,39.17,45.03,7.52,1838.91,38.01,0.6,66.51,0.25
Guinea_fowl,G4,5,36.2,0.57,0.52,52.49,-16.36,-8.12,10,20.82,26.04,50.3,8.21,2020.43,55.91,0.51,56.55,0.14
Muromo_wehoto,G10,7,40.32,0.23,0.4,48.18,-8.93,4.27,35.22,37.21,42.16,42.2,-1.05,3944.62,56.63,0.48,57.24,0.33
Kabhutsu,G5,4,52.96,0.2,0.21,77.34,-0.06,9.37,55,18.21,21.3,6.51,-5.31,706.48,33.17,0.46,50.9,0.14
Kasawaya,G6,5,15.2,0.65,0.28,43.48,-7.61,3.12,0,28.55,24.43,32.94,-3.1,2862.88,55.9,0.51,58.44,0.21
Natal_common,G11,7,19.3,0.34,0.45,0,-9.53,-0.68,0,26.04,32.4,25.57,0,0,64.32,0.51,58.75,0.18
Makulu_red,G7,6,19.8,0.65,0.45,33.78,-10.86,2.23,1.09,29.55,36.11,25.48,2.33,3376.9,65.48,0.5,58.76,0.22
Tumbe,G12,4,20,0.23,0.3,51.04,-4.69,3.89,2.21,20.18,25.47,45.3,-0.99,1526.08,48.02,0.54,59.87,0.12
Murambatsvina,G9,4,21.8,0.25,0.33,48.47,-5.53,2.88,5.89,20.74,26.15,25.9,-0.43,1743.89,51.68,0.53,59.15,0.13
Munzungu_munemari,G8,6,25.8,0.26,0.34,46.98,-5.57,2.51,6.82,20.13,25.31,23.05,0.26,1738.41,52.44,0.52,57.69,0.13
Chizambia,G3,5,30.9,0.29,0.34,45.67,-5.8,3.41,7.02,18.36,23.69,16.11,0.32,1430.93,54.46,0.55,60.01,0.1
Chigunwe,G2,4,31.5,0.34,0.43,43.95,-8.14,2.24,8,25.97,31.76,21.07,2.84,2589.44,59.33,0.5,57.06,0.19
Bobwhite,G1,6,33.8,0.31,0.44,78.27,-8.73,-16.78,9.05,22.99,42.22,48.09,8.1,2458.37,64.54,0.53,59.47,0.14
Guinea_fowl,G4,5,36.8,0.51,0.51,50.16,-15.1,-8.12,9.27,27.42,25.32,55.2,6.99,3871.89,81.2,0.53,61.14,0.17
Muromo_wehoto,G10,7,40.35,0.25,0.33,0,-5.94,2.33,38.42,20.96,26.2,23.96,0,0,53.76,0.51,57.18,0.14
Kabhutsu,G5,4,53,0.2,0.21,77.34,-0.06,9.37,58,18.21,21.3,6.51,-5.31,706.48,33.17,0.46,50.9,0.14
Kasawaya,G6,5,15.6,0.58,0.26,42.3,-6.9,5.05,1.09,21.26,26.27,34.61,-3.07,1207.69,41.65,0.54,59.75,0.14
Natal_common,G11,7,19.8,0.12,0.23,69.89,3.2,23.58,2.78,39.2,40.99,28,-10.27,2276.38,38.22,0.48,56.77,0.37
Makulu_red,G7,6,20,0.66,0.4,45.88,-9.76,2.82,4.15,21.19,36.98,25.3,2.5,1499.9,51.99,0.56,61.43,0.13
Tumbe,G12,8,20.3,0.21,0.29,69.5,-2.64,13.38,4.5,36.24,39.86,44.38,-5.91,2595.56,45.29,0.48,56.65,0.33
Murambatsvina,G9,4,22,0.21,0.35,53.15,-4.57,11.37,6.65,38.34,42.55,38.83,-4,3295.81,48.38,0.49,58.53,0.34
